MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,1.37708,1.37496,0.0764273
2,1.10711,1.0496,-0.352181
3,0.869483,0.863203,0.104314
4,0.773612,0.769628,-0.0784207
5,0.791256,0.78078,-0.128327
6,0.730151,0.665136,0.301187
7,0.744078,0.650853,0.360613
8,0.828456,0.782403,0.272369
9,0.680309,0.548266,0.402772
10,0.654371,0.618111,0.214803
11,0.884513,0.737417,0.488446
12,0.884513,0.737417,0.488446
13,0.875308,0.857488,0.175724
14,0.815248,0.806669,-0.117955
15,0.815248,0.806669,-0.117955
16,0.948378,0.945241,-0.0770744
17,0.693226,0.684465,-0.109862
18,0.706226,0.705791,-0.024782
19,0.764079,0.718698,-0.259401
20,0.626142,0.597909,-0.185899
21,0.691637,0.675421,-0.14889
22,0.733763,0.694087,-0.238015
23,0.632821,0.626503,-0.0891993
24,0.524179,0.518992,-0.0735579
25,0.447721,0.443,0.0648467
26,0.738692,0.731743,0.101083
27,0.755234,0.750364,0.0856273
28,0.611256,0.605793,0.0815456
29,0.497527,0.475493,0.146422
30,0.534703,0.532537,0.0480769
31,0.534703,0.532537,0.0480769
32,0.534703,0.532537,0.0480769
33,0.646846,0.564888,0.315137
34,0.657445,0.645588,0.124295
35,0.600128,0.561459,0.211935
36,0.372583,0.368964,0.0518035
37,0.386653,0.383787,0.0469869
38,0.569283,0.567913,-0.0394733
39,0.398551,0.380387,0.118948
40,0.518474,0.518464,0.00307692
41,0.66057,0.648574,0.125313
42,0.627975,0.627213,-0.0309197
43,0.547174,0.529684,0.137236
44,0.494411,0.482494,0.107897
45,0.686812,0.676646,-0.117735
46,0.54138,0.538787,-0.0529267
47,0.503667,0.451322,-0.223584
48,0.496462,0.435373,-0.238591
49,0.522135,0.455978,-0.25438
50,0.645646,0.617159,-0.189668
51,0.424304,0.40927,-0.111943
52,0.494573,0.435007,-0.235312
53,0.539472,0.533894,-0.0773725
54,0.384301,0.384163,0.0102747
55,0.402171,0.398296,-0.0556907
56,0.28989,0.248883,-0.14864
57,0.381403,0.359837,0.126433
58,0.479795,0.479631,0.0125265
59,0.397551,0.396287,-0.0316712
60,0.432687,0.419294,-0.106821
61,0.371089,0.345216,0.136138
62,0.506132,0.487837,0.134851
63,0.411708,0.329287,0.247131
64,0.460471,0.372428,0.270797
65,0.579104,0.509157,0.2759
66,0.499985,0.499433,0.0234804
67,0.611611,0.519133,0.323373
68,0.575509,0.530324,0.223531
69,0.713271,0.639362,0.316184
70,0.544173,0.508766,0.193084
71,0.373303,0.35874,0.103253
72,0.556523,0.359265,0.425026
73,0.807209,0.665309,0.457112
74,0.572851,0.341266,0.460103
75,0.544507,0.421211,0.345063
76,0.486771,0.22774,0.430209
77,0.345851,0.246528,0.242563
78,0.464025,0.425054,0.18614
79,0.187348,0.127779,0.13701
80,0.253153,0.1646,0.192337
81,0.253153,0.1646,0.192337
82,0.29254,0.286273,-0.0602268
83,0.290722,0.242908,0.159733
84,0.373003,0.362932,0.0860906
85,0.515841,0.498891,0.131146
86,0.547652,0.543013,0.0711339
87,0.36163,0.35144,0.085245
88,0.370614,0.33336,0.161944
89,0.619562,0.559426,0.26627
90,0.669559,0.544797,0.389237
91,0.669559,0.544797,0.389237
92,0.583699,0.450636,0.370987
93,0.440497,0.232237,0.374304
94,0.453263,0.432859,0.134464
95,0.645215,0.596293,0.246447
96,0.589108,0.57806,0.113558
97,0.530778,0.530719,-0.00795359
98,0.699396,0.65203,0.253005
99,0.532242,0.439935,0.299564
100,0.586068,0.501066,0.303988
101,0.912028,0.656472,0.633118
102,0.631853,0.430208,0.462773
103,0.59622,0.364402,0.471899
104,0.59622,0.364402,0.471899
105,0.691417,0.522328,0.453025
106,0.64251,0.561787,0.311793
107,0.676229,0.536105,0.412162
108,0.792946,0.711235,0.350584
109,0.716477,0.675722,0.238201
110,0.649313,0.617476,0.200825
111,0.583308,0.544913,0.20813
112,0.56464,0.233523,0.514087
113,0.652261,0.413007,0.504846
114,0.539924,-0.00175199,0.539921
115,0.760223,0.167267,0.741593
116,0.624343,0.133911,0.609813
117,0.690863,0.309326,0.617744
118,0.578876,0.327906,0.477048
119,0.375926,0.325587,0.187919
120,0.326957,0.205951,0.253939
121,0.532305,0.161641,0.50717
122,0.297536,0.104586,0.278549
123,0.506215,0.214201,0.458662
124,0.470894,0.151678,0.445797
125,0.547049,0.319345,0.444164
126,0.536283,0.168485,0.509129
127,0.669487,0.250806,0.620732
128,0.631236,0.207649,0.596104
129,0.318405,0.122616,0.293849
130,0.579082,0.106332,0.569236
131,0.579082,0.106332,0.569236
132,0.334154,-0.136573,0.30497
133,0.357036,-0.181121,0.307685
134,0.359635,-0.135555,0.33311
135,0.242669,-0.0245956,0.24142
136,0.510563,-0.369783,0.352044
137,0.509776,-0.25503,0.441397
138,0.673463,-0.0746322,0.669315
139,0.759777,-0.234181,0.722787
140,0.580068,0.00481915,0.580048
141,0.671743,-0.0434665,0.670335
142,0.7228,-0.106988,0.714838
143,0.575301,-0.270918,0.507518
144,0.46971,-0.062794,0.465494
145,0.627128,-0.138349,0.611677
146,0.617951,0.0416609,0.616545
147,0.493794,-0.190459,0.455585
148,0.714267,-0.255889,0.666857
149,0.710722,-0.013253,0.710599
150,0.631407,-0.226729,0.589295
151,0.60241,-0.181024,0.574568
152,0.702681,-0.198117,0.674174
153,0.768965,-0.11325,0.76058
154,0.702301,-0.255432,0.654203
155,0.900927,-0.525523,0.731776
156,0.771212,-0.272424,0.721494
157,0.628086,-0.190261,0.598576
158,0.582744,-0.295219,0.50243
159,0.64793,-0.343503,0.549381
160,0.756987,-0.0904049,0.751569
161,0.643832,-0.244267,0.595696
162,0.643832,-0.244267,0.595696
163,0.574095,-0.0904921,0.566918
164,0.682277,-0.289774,0.617684
165,0.789218,-0.499579,0.610971
166,0.800074,-0.705019,0.378242
167,0.643809,-0.530633,0.364581
168,0.671072,-0.536405,0.403246
169,0.734067,-0.685563,0.262407
170,0.542443,-0.470067,0.270705
171,0.628686,-0.517662,0.356752
172,0.694594,-0.593863,0.360259
173,0.678152,-0.622986,0.267916
174,0.810275,-0.710397,0.38972
175,1.00789,-1.0069,0.0446981
176,0.719452,-0.7117,-0.10533
177,0.583328,-0.580308,0.0592813
178,0.54672,-0.543193,-0.0620006
179,0.589605,-0.587707,-0.0472603
180,0.554535,-0.540396,0.124424
181,0.689204,-0.673931,0.144287
182,0.523583,-0.468335,0.234097
