MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.655544,0.65552,-0.0056597
2,0.50656,0.50064,-0.0772195
3,0.402384,0.402052,-0.0163317
4,0.411068,0.40795,-0.050542
5,0.3936,0.388937,-0.0604075
6,0.386815,0.382783,0.055698
7,0.373969,0.367366,0.0699625
8,0.379398,0.35861,0.123859
9,0.362071,0.353081,0.0801785
10,0.373144,0.364806,0.0784435
11,0.417239,0.409505,0.079964
12,0.417239,0.409505,0.079964
13,0.409162,0.40877,0.017911
14,0.352717,0.352627,0.0079374
15,0.352717,0.352627,0.0079374
16,0.426459,0.42468,-0.0389139
17,0.40427,0.40214,0.0414419
18,0.405982,0.405842,0.0106897
19,0.403859,0.403859,-0.0007122
20,0.369455,0.368182,0.0306451
21,0.393255,0.392713,0.0206226
22,0.347894,0.347889,-0.00186027
23,0.323923,0.323311,-0.0198917
24,0.320188,0.320011,0.0106515
25,0.292116,0.292061,-0.0057046
26,0.31964,0.301623,0.1058
27,0.331942,0.310598,0.117111
28,0.30518,0.278248,0.12535
29,0.330079,0.300951,0.135574
30,0.334794,0.308394,0.130308
31,0.334794,0.308394,0.130308
32,0.334794,0.308394,0.130308
33,0.329755,0.29554,0.14627
34,0.343633,0.309381,0.149556
35,0.324519,0.274861,0.172522
36,0.263778,0.24129,0.106574
37,0.196489,0.183674,0.069798
38,0.23417,0.21466,0.093577
39,0.246495,0.216451,0.117935
40,0.27913,0.266088,0.084324
41,0.3586,0.329255,0.142072
42,0.229073,0.221916,0.05681
43,0.30761,0.278456,0.130713
44,0.240873,0.221558,0.094509
45,0.31644,0.315775,0.0205028
46,0.325896,0.325577,-0.0144154
47,0.284431,0.280436,-0.0475023
48,0.273153,0.266399,-0.0603685
49,0.345803,0.33201,-0.096692
50,0.29692,0.296336,-0.0186141
51,0.23297,0.22844,-0.0457172
52,0.28742,0.283438,-0.0476789
53,0.262966,0.261263,0.0298839
54,0.247505,0.243447,0.0446324
55,0.203758,0.203392,0.0122159
56,0.184155,0.180817,0.0349026
57,0.216133,0.211888,0.0426247
58,0.284133,0.278312,0.0572185
59,0.177116,0.175038,0.0270488
60,0.193426,0.183436,0.061359
61,0.276461,0.244945,0.128191
62,0.267056,0.254225,0.081782
63,0.275913,0.250897,0.1148
64,0.261765,0.225781,0.132452
65,0.353413,0.321794,0.146116
66,0.321059,0.300683,0.112556
67,0.327446,0.315534,0.087515
68,0.320969,0.30702,0.0935915
69,0.369723,0.365506,0.0556785
70,0.26877,0.258296,0.074299
71,0.161217,0.149696,0.059851
72,0.255716,0.238854,0.091319
73,0.33543,0.332027,0.0476589
74,0.203045,0.203045,0.000429208
75,0.219552,0.216324,0.037513
76,0.189251,0.165032,0.092629
77,0.181707,0.175918,0.0455019
78,0.287186,0.268531,0.10182
79,0.150021,0.142337,0.0473972
80,0.0929072,0.085245,0.0369465
81,0.0929072,0.085245,0.0369465
82,0.155866,0.150132,0.0418878
83,0.160435,0.129946,0.0940915
84,0.20091,0.186253,0.07533
85,0.290556,0.271816,0.102657
86,0.256205,0.235797,0.100202
87,0.219157,0.20172,0.085666
88,0.199201,0.175005,0.0951555
89,0.322537,0.277859,0.163781
90,0.348544,0.307634,0.163843
91,0.348544,0.307634,0.163843
92,0.341164,0.279438,0.195722
93,0.295143,0.24525,0.1642
94,0.332209,0.3053,0.130975
95,0.331107,0.320829,0.0818575
96,0.318276,0.314767,0.0471358
97,0.298284,0.297772,0.0174719
98,0.33716,0.32767,0.0794305
99,0.279173,0.26741,0.080187
100,0.29535,0.262008,0.13632
101,0.382135,0.304943,0.230297
102,0.324229,0.230545,0.227977
103,0.313385,0.235685,0.206549
104,0.313385,0.235685,0.206549
105,0.363287,0.278485,0.233288
106,0.315447,0.260344,0.178124
107,0.299431,0.241996,0.176344
108,0.383419,0.324189,0.204723
109,0.328849,0.29764,0.13983
110,0.357584,0.293505,0.204258
111,0.346179,0.29386,0.182992
112,0.321902,0.216678,0.238059
113,0.296132,0.221989,0.195998
114,0.312831,0.202581,0.238378
115,0.331177,0.18151,0.277006
116,0.275794,0.133298,0.241442
117,0.295544,0.220437,0.196861
118,0.327106,0.256259,0.203296
119,0.245058,0.196126,0.146929
120,0.222138,0.197819,0.10106
121,0.262616,0.147297,0.217418
122,0.194177,0.121067,0.151813
123,0.263738,0.145396,0.220041
124,0.272764,0.126693,0.241555
125,0.277163,0.164383,0.223154
126,0.303119,0.126691,0.275373
127,0.364269,0.17526,0.319336
128,0.308682,0.102536,0.291155
129,0.169058,0.0118822,0.16864
130,0.252434,-0.0077967,0.252314
131,0.252434,-0.0077967,0.252314
132,0.242946,-0.0381864,0.239926
133,0.22907,-0.0193411,0.228252
134,0.30249,-0.0560945,0.297243
135,0.176945,-0.0336675,0.173713
136,0.237091,-0.0626565,0.228662
137,0.246584,-0.0171745,0.245985
138,0.374815,0.021059,0.374223
139,0.390301,0.0168039,0.389939
140,0.406617,-0.0115403,0.406454
141,0.388597,-0.0026073,0.388588
142,0.40816,0.0302377,0.407038
143,0.33524,-0.023405,0.334421
144,0.291953,0.000574695,0.291952
145,0.369901,-0.053976,0.365941
146,0.337219,-0.0562025,0.332503
147,0.331573,-0.0912215,0.318777
148,0.337499,-0.113169,0.31796
149,0.39101,-0.139576,0.36525
150,0.345897,-0.128846,0.321004
151,0.338602,-0.161717,0.297488
152,0.411641,-0.144947,0.385277
153,0.429065,-0.134179,0.407544
154,0.427409,-0.128516,0.40763
155,0.40354,-0.223144,0.33623
156,0.441037,-0.18171,0.401865
157,0.332341,-0.0923825,0.319243
158,0.316711,-0.0712775,0.308586
159,0.310103,-0.05846,0.304542
160,0.384906,-0.0857675,0.375229
161,0.402561,-0.103841,0.388938
162,0.402561,-0.103841,0.388938
163,0.338221,-0.0673095,0.331456
164,0.385418,-0.113992,0.368175
165,0.419619,-0.207131,0.364934
166,0.401596,-0.280097,0.287794
167,0.403559,-0.320705,0.244966
168,0.310248,-0.210908,0.227534
169,0.322369,-0.231051,0.224805
170,0.374646,-0.31778,0.198432
171,0.368244,-0.326483,0.170331
172,0.385376,-0.333975,0.192291
173,0.38413,-0.348037,0.16256
174,0.460503,-0.421261,0.186018
175,0.414992,-0.399919,0.110829
176,0.397673,-0.395674,0.0398275
177,0.414188,-0.412332,0.0391741
178,0.384939,-0.384864,-0.0075987
179,0.377625,-0.371869,0.065679
180,0.38416,-0.365982,0.116773
181,0.410747,-0.392574,0.120827
182,0.395155,-0.374267,0.126774
183,0.333642,-0.300494,0.144984
184,0.318907,-0.293264,0.125293
185,0.30506,-0.294416,0.07988
186,0.329431,-0.321217,0.073105
187,0.298977,-0.297469,0.0299937
188,0.334185,-0.315143,0.111196
189,0.35721,-0.354548,0.0435311
190,0.242688,-0.238975,0.0422922
191,0.242688,-0.238975,0.0422922
192,0.302612,-0.29566,0.064495
193,0.363039,-0.327963,0.155685
194,0.40307,-0.272575,0.296932
195,0.385674,-0.305829,0.234974
196,0.381127,-0.277415,0.261341
197,0.383948,-0.256472,0.285724
198,0.405179,-0.207336,0.348112
199,0.401386,-0.206067,0.344452
200,0.431124,-0.217552,0.372208
201,0.431124,-0.217552,0.372208
202,0.362111,-0.226197,0.28277
203,0.386379,-0.185973,0.338678
204,0.364876,-0.153743,0.330904
205,0.367488,-0.0801305,0.358646
206,0.322995,-0.127867,0.296606
207,0.388293,-0.176501,0.345859
208,0.31704,-0.14801,0.28037
209,0.361068,-0.177064,0.314672
210,0.36081,-0.154297,0.326154
211,0.417153,-0.118971,0.399828
212,0.423554,-0.193214,0.376917
213,0.40553,-0.230694,0.333518
214,0.34331,-0.168034,0.299376
215,0.43227,-0.186124,0.390148
216,0.427673,-0.172945,0.391145
217,0.361798,-0.125164,0.339458
218,0.365532,-0.117657,0.346079
219,0.396186,-0.099588,0.383466
220,0.373682,-0.062205,0.368468
221,0.352465,-0.0182297,0.351994
222,0.367783,-0.102192,0.353301
223,0.322082,-0.12213,0.298029
224,0.298168,-0.0634225,0.291345
225,0.332276,-0.112602,0.312615
226,0.340498,-0.032652,0.338929
227,0.340498,-0.032652,0.338929
228,0.419652,-0.072735,0.413301
229,0.399943,-0.000766715,0.399942
230,0.388186,0.00528965,0.388149
231,0.276233,0.0053455,0.276182
232,0.328317,-0.0154933,0.327952
233,0.332023,0.0432826,0.32919
234,0.341034,0.0151039,0.340699
235,0.371315,0.0193803,0.370809
236,0.451257,0.0165501,0.450954
237,0.44191,0.0119205,0.441749
238,0.399178,0.0406548,0.397102
239,0.369065,0.046379,0.366139
240,0.36128,0.0403657,0.359017
241,0.378857,0.0406679,0.376668
242,0.34419,0.0800595,0.334749
243,0.249918,0.125171,0.216312
244,0.249918,0.125171,0.216312
245,0.331447,0.119806,0.309036
246,0.351175,0.166168,0.309374
247,0.395859,0.214184,0.33291
248,0.43033,0.104684,0.417403
249,0.36455,0.105278,0.349017
250,0.396927,0.0868405,0.387311
251,0.407082,0.0496858,0.404038
252,0.348715,0.115488,0.329035
253,0.404377,0.0913965,0.393912
254,0.348019,0.0474564,0.344768
255,0.374218,0.0187652,0.373748
256,0.338214,0.00982145,0.338072
257,0.336252,0.00106973,0.33625
258,0.320766,-0.0800305,0.310621
259,0.31027,-0.0651355,0.303356
260,0.371025,-0.138969,0.344016
261,0.412024,-0.134182,0.389562
262,0.399162,-0.155649,0.367565
263,0.399162,-0.155649,0.367565
264,0.373951,-0.159092,0.338421
265,0.400251,-0.156858,0.368235
266,0.373155,-0.107774,0.357253
267,0.417285,-0.073137,0.410826
268,0.3741,0.0172782,0.3737
269,0.346393,9.97765e-06,0.346393
270,0.340927,0.0398283,0.338593
271,0.420554,0.00444457,0.420531
272,0.374884,0.0684315,0.368585
273,0.415787,0.166542,0.380976
274,0.450224,0.185298,0.410324
275,0.436172,0.236253,0.366648
276,0.394791,0.248463,0.3068
277,0.392586,0.26367,0.290865
278,0.365141,0.215112,0.29505
279,0.416338,0.332085,0.251111
280,0.394455,0.302753,0.252854
281,0.394455,0.302753,0.252854
282,0.394455,0.302753,0.252854
283,0.391706,0.26816,0.285523
284,0.370494,0.224887,0.294434
285,0.299419,0.173781,0.243828
286,0.338883,0.205223,0.269676
287,0.236743,0.070108,0.226124
288,0.167255,0.02697,0.165066
289,0.167255,0.02697,0.165066
290,0.252347,0.0496641,0.247412
291,0.175029,0.0211051,0.173752
292,0.245507,-0.0073255,0.245398
293,0.209807,-0.059421,0.201216
294,0.192202,0.0331909,0.189314
295,0.269915,0.0165623,0.269406
296,0.230663,0.0407366,0.227038
297,0.287998,0.051989,0.283267
298,0.2631,0.0182499,0.262466
299,0.239899,0.00780965,0.239771
300,0.283551,-0.0096526,0.283387
301,0.268024,-0.037989,0.265319
302,0.197365,-0.078001,0.181298
303,0.157947,-0.0134582,0.157373
304,0.160212,-0.0392894,0.15532
305,0.283561,-0.0126023,0.28328
306,0.264231,0.0347079,0.261941
307,0.290124,-0.0257621,0.288977
308,0.301524,0.075612,0.29189
309,0.258552,0.093973,0.240869
310,0.247342,0.0946775,0.228504
311,0.264257,0.141838,0.222966
312,0.221946,0.124138,0.183983
313,0.250155,0.148904,0.20101
314,0.321738,0.191044,0.258877
315,0.282157,0.176975,0.219756
316,0.252184,0.153382,0.200177
317,0.356651,0.169219,0.31395
318,0.356081,0.201619,0.293502
319,0.381875,0.245199,0.292755
320,0.420643,0.242434,0.343753
321,0.292432,0.211007,0.202465
322,0.336844,0.175579,0.287465
323,0.32587,0.221931,0.238617
324,0.442331,0.286275,0.337199
325,0.360155,0.143282,0.330427
326,0.472992,0.171377,0.440852
327,0.405542,0.1329,0.383147
328,0.419241,0.128811,0.398962
329,0.419241,0.128811,0.398962
330,0.346509,0.085231,0.335863
331,0.400163,0.0501355,0.39701
332,0.386977,6.7789e-05,0.386977
333,0.322151,-0.0636915,0.315792
334,0.433098,0.0506795,0.430123
335,0.376462,0.0463109,0.373603
336,0.375844,-0.0308863,0.374573
337,0.378724,0.00254147,0.378715
338,0.366431,-0.0131103,0.366196
339,0.364368,-0.0594205,0.35949
340,0.354531,0.0447609,0.351694
341,0.427216,0.079202,0.41981
342,0.425046,0.0428786,0.422878
343,0.444584,0.0774105,0.437793
344,0.392832,-0.0255372,0.392001
345,0.319161,0.0081005,0.319059
346,0.323818,0.00377574,0.323796
347,0.403083,-0.0136537,0.402851
348,0.403083,-0.0136537,0.402851
349,0.294875,-0.0394738,0.292221
350,0.34224,-0.0733965,0.334278
351,0.350523,0.0169269,0.350114
352,0.330327,-0.0231363,0.329516
353,0.350559,-0.0725395,0.342971
354,0.387698,-0.0212558,0.387114
355,0.387698,-0.0212558,0.387114
356,0.397736,-0.0242385,0.396996
357,0.382322,-0.00149271,0.382319
358,0.333373,-0.0300469,0.332016
359,0.359635,0.021839,0.358971
360,0.415133,0.065249,0.409973
361,0.380438,0.105804,0.365429
362,0.413389,0.0568195,0.409465
363,0.442183,0.093827,0.432113
364,0.433019,0.0417824,0.430999
365,0.381084,0.051005,0.377655
366,0.354772,0.0226481,0.354048
367,0.358636,-0.010059,0.358494
368,0.358636,-0.010059,0.358494
369,0.353544,0.000563395,0.353544
370,0.390471,0.00872215,0.390374
371,0.398585,0.0213002,0.398016
372,0.308389,0.077333,0.298535
373,0.341688,0.185733,0.286799
374,0.377691,0.207496,0.315588
375,0.337237,0.169297,0.291664
376,0.361142,0.11522,0.342269
377,0.401313,0.212438,0.340473
378,0.402794,0.14026,0.377584
379,0.35364,0.059667,0.348571
380,0.425115,0.0670575,0.419793
381,0.373044,-0.0292692,0.371894
382,0.364233,-0.00538325,0.364193
383,0.434423,-0.00907015,0.434328
384,0.438807,0.0194979,0.438374
385,0.415744,-0.00704175,0.415685
386,0.340067,-0.0881525,0.328443
387,0.340067,-0.0881525,0.328443
388,0.396708,-0.079226,0.388716
389,0.415405,-0.161574,0.382694
390,0.465031,-0.156249,0.437996
391,0.385176,-0.057424,0.380871
392,0.363148,0.030028,0.361904
393,0.364855,0.063379,0.359308
394,0.377992,0.0057509,0.377949
395,0.407129,0.0417461,0.404983
396,0.367382,-0.0124359,0.367171
397,0.303297,-0.0054213,0.303248
398,0.336215,0.0283732,0.335016
399,0.425175,0.109443,0.410847
400,0.389353,0.215049,0.324576
401,0.389833,0.157535,0.356585
402,0.390508,0.080178,0.382188
403,0.44874,0.189588,0.406723
404,0.313085,0.165099,0.266016
405,0.372966,0.131849,0.348884
406,0.261446,0.0964295,0.243013
407,0.281425,0.079349,0.270007
408,0.312654,0.0710565,0.304473
409,0.288488,-0.0271023,0.287212
410,0.327046,-0.0387072,0.324748
411,0.284693,-0.054705,0.279388
412,0.293641,-0.125422,0.265508
413,0.372948,-0.129944,0.349577
414,0.339988,-0.0664425,0.333433
415,0.37733,-0.164467,0.3396
416,0.370766,-0.185896,0.320796
417,0.338728,-0.15714,0.300073
418,0.399806,-0.138368,0.375099
419,0.397803,-0.136314,0.373719
420,0.38852,-0.121333,0.369088
421,0.416331,-0.117107,0.399521
422,0.392558,-0.158192,0.359274
423,0.389361,-0.122597,0.369557
424,0.336039,-0.115391,0.315605
425,0.319402,-0.058402,0.314017
426,0.424617,-0.0917715,0.414581
427,0.434733,-0.110878,0.420356
428,0.431704,-0.149722,0.404909
429,0.35675,-0.126978,0.333387
430,0.413448,-0.135897,0.390475
431,0.448012,-0.156355,0.419843
432,0.431193,-0.236043,0.360847
433,0.45555,-0.147492,0.431013
434,0.428672,-0.223773,0.36563
435,0.417363,-0.254348,0.330906
436,0.417363,-0.254348,0.330906
437,0.401482,-0.195171,0.350851
438,0.363205,-0.152508,0.329635
439,0.351985,-0.160498,0.313263
440,0.392798,-0.240502,0.310563
441,0.385249,-0.226209,0.311843
442,0.443883,-0.309634,0.318056
443,0.443883,-0.309634,0.318056
444,0.395972,-0.244988,0.311086
445,0.408358,-0.30397,0.272687
446,0.364978,-0.232345,0.281469
447,0.404648,-0.227888,0.334376
448,0.371643,-0.260322,0.265237
449,0.435874,-0.310422,0.305982
450,0.349997,-0.251515,0.24339
451,0.287897,-0.200632,0.206475
452,0.394182,-0.266327,0.290601
453,0.334603,-0.279263,0.184313
454,0.373584,-0.3223,0.188912
455,0.296663,-0.26341,0.13647
456,0.391853,-0.303536,0.24782
457,0.407893,-0.287967,0.28888
458,0.428971,-0.339074,0.262765
459,0.419583,-0.339373,0.246731
460,0.401639,-0.295413,0.272111
461,0.341744,-0.226289,0.25609
462,0.341744,-0.226289,0.25609
463,0.370964,-0.238143,0.284434
464,0.365768,-0.200121,0.306167
465,0.394382,-0.255561,0.300376
466,0.412042,-0.219296,0.348838
467,0.418278,-0.208072,0.362853
468,0.366335,-0.209421,0.300573
469,0.347524,-0.240673,0.250698
470,0.326091,-0.190669,0.264539
471,0.342588,-0.167969,0.298584
472,0.303689,-0.158206,0.259225
473,0.367526,-0.192106,0.313323
474,0.376089,-0.172476,0.334207
475,0.420393,-0.134404,0.39833
476,0.461,-0.165156,0.430401
477,0.395983,-0.210943,0.33512
478,0.375881,-0.187638,0.325696
479,0.336111,-0.152994,0.299272
480,0.342324,-0.200524,0.277445
481,0.318896,-0.214695,0.235799
482,0.383336,-0.225472,0.310014
483,0.399225,-0.189039,0.351631
484,0.400076,-0.116339,0.382787
485,0.414578,-0.11694,0.397744
486,0.355509,-0.158608,0.318167
487,0.435571,-0.15404,0.407423
488,0.388623,-0.0980195,0.376059
489,0.291405,-0.0454714,0.287836
490,0.272978,-0.060112,0.266277
491,0.251468,-0.0324402,0.249366
492,0.312961,-0.076224,0.303536
493,0.265429,0.0321119,0.263479
494,0.234174,-0.0144838,0.233726
495,0.164085,-0.0531485,0.155239
496,0.288007,-0.0297704,0.286464
497,0.218744,-0.0774915,0.204559
498,0.363046,-0.150759,0.330263
499,0.333272,-0.103141,0.31691
500,0.3606,-0.0255177,0.359696
501,0.322881,-0.0617015,0.316931
502,0.404982,-0.142736,0.378994
503,0.39979,-0.221784,0.332632
504,0.361486,-0.237493,0.272524
505,0.412615,-0.349624,0.219121
506,0.408905,-0.331178,0.239842
507,0.356224,-0.281504,0.218291
508,0.396796,-0.319277,0.235603
509,0.363411,-0.180766,0.315264
510,0.349362,-0.157146,0.312024
511,0.290259,-0.13788,0.25542
512,0.251462,-0.125735,0.217771
513,0.24385,-0.136197,0.20227
514,0.338028,-0.168171,0.293225
515,0.249956,-0.124773,0.216586
516,0.289734,-0.16404,0.238824
517,0.385983,-0.203151,0.328196
518,0.337115,-0.168341,0.292075
519,0.393568,-0.190318,0.344492
520,0.302365,-0.128171,0.273855
521,0.376512,-0.153906,0.34362
522,0.36786,-0.12981,0.344195
523,0.372683,-0.0481842,0.369555
524,0.339932,-0.0716515,0.332295
525,0.366853,-0.039878,0.364679
526,0.294672,-0.051654,0.29011
527,0.338708,-0.109482,0.320526
528,0.387484,-0.095019,0.375653
529,0.427651,-0.0917675,0.417689
530,0.432983,-0.140562,0.409533
531,0.425455,-0.070897,0.419506
532,0.4193,-0.127426,0.399469
533,0.468078,-0.0654315,0.463482
534,0.404305,-0.097991,0.392251
535,0.404305,-0.097991,0.392251
536,0.431756,-0.071697,0.425762
537,0.372805,-0.0420857,0.370422
538,0.392488,-0.014797,0.392209
539,0.318893,0.0281802,0.317646
540,0.318893,0.0281802,0.317646
541,0.37839,0.0522925,0.374759
542,0.38381,0.114835,0.366229
543,0.454573,0.222513,0.39639
544,0.377112,0.146766,0.34738
545,0.329504,0.128367,0.303471
546,0.379164,0.138343,0.353025
547,0.348764,0.164791,0.307376
548,0.385669,0.201869,0.328618
549,0.343842,0.196662,0.282048
550,0.38785,0.22597,0.315222
551,0.37753,0.138371,0.351258
552,0.378961,0.16294,0.342143
553,0.421007,0.216647,0.360986
554,0.363059,0.172735,0.319335
555,0.402412,0.188807,0.355369
556,0.404051,0.219368,0.339315
557,0.404051,0.219368,0.339315
558,0.385416,0.228836,0.310128
559,0.385416,0.228836,0.310128
560,0.323115,0.162571,0.279238
561,0.260421,0.120572,0.230827
562,0.289589,0.111308,0.267344
563,0.332761,0.167681,0.287426
564,0.343348,0.167071,0.299959
565,0.28952,0.177193,0.228964
566,0.362828,0.165079,0.323099
567,0.275344,0.153863,0.228344
568,0.367382,0.174229,0.323441
569,0.428177,0.200093,0.378548
570,0.402393,0.21537,0.339906
571,0.436339,0.226119,0.373178
572,0.429528,0.118962,0.412726
573,0.459268,0.12526,0.441856
574,0.411155,0.0954195,0.399929
575,0.411155,0.0954195,0.399929
576,0.442355,0.11148,0.428077
577,0.42547,0.0855635,0.416778
578,0.414477,0.125881,0.394898
579,0.414477,0.125881,0.394898
580,0.399623,0.13057,0.377691
581,0.341751,0.116379,0.321325
582,0.374119,0.0543625,0.370148
583,0.388428,0.0396832,0.386396
584,0.414728,0.0290577,0.413708
585,0.422488,0.110483,0.407786
586,0.379823,0.0629865,0.374564
587,0.373726,0.0441877,0.371105
588,0.361611,0.0778355,0.353135
589,0.369082,0.0231693,0.368354
590,0.375499,0.0242931,0.374713
591,0.367924,0.0151971,0.36761
592,0.341622,0.085328,0.330794
593,0.294451,0.0527295,0.289691
594,0.378602,0.126604,0.356807
595,0.436174,0.14107,0.412731
596,0.436174,0.14107,0.412731
597,0.428305,0.13457,0.406616
598,0.368015,0.164483,0.329211
599,0.400462,0.0661365,0.394964
600,0.354191,0.0127653,0.353961
601,0.329023,0.0314576,0.327516
602,0.365038,-0.050534,0.361523
603,0.381317,-0.0975715,0.368623
604,0.411516,-0.208677,0.354681
605,0.425702,-0.279344,0.321232
606,0.447786,-0.285413,0.345039
607,0.406444,-0.296318,0.278195
608,0.428022,-0.268335,0.333466
609,0.410463,-0.236596,0.335413
610,0.443255,-0.199246,0.39595
611,0.41685,-0.163679,0.383371
612,0.466038,-0.154597,0.439649
613,0.402984,-0.136803,0.379053
614,0.377886,-0.0456392,0.375119
615,0.409298,0.00470529,0.40927
616,0.413326,-0.0210831,0.412788
617,0.404909,0.0309734,0.403723
618,0.279747,-0.0120873,0.279485
619,0.31518,0.051314,0.310975
620,0.299263,0.0232376,0.298359
