MDTU,0,2,4,6,8,10
10,0.00077514663,0.0011973361,0.0015668142,0.0026084293,0.0028810885,0.0035886809
20,0.0015315902,0.0019799209,0.0027167103,0.0031038171,0.0040473372,0.0046099582
30,0.0010758223,0.0017994682,0.0028081895,0.0029707243,0.0032543726,0.0037775894
40,0.0011236764,0.0016451124,0.0024574439,0.0032082519,0.0034844198,0.0041965815
50,0.0024071114,0.0032817551,0.0039655286,0.0050933392,0.0055462782,0.0060881899
60,0.0019516637,0.0029469783,0.0033197429,0.0049380188,0.0054133653,0.0057251919
70,0.0016670912,0.0025733038,0.0033040292,0.0043921679,0.0048695728,0.0050045632
80,0.0022809612,0.0027071634,0.003165972,0.0033295212,0.0045772726,0.0054057701
90,0.0016927132,0.0022652869,0.0029500445,0.0035287525,0.0042114072,0.0047923206
100,0.0023637923,0.0032515353,0.0035161991,0.0041945567,0.005519799,0.0059651894
110,0.0010155074,0.0014174847,0.0020299631,0.0031409998,0.0039099333,0.0043011052
120,0.0015744608,0.0021708363,0.0023649594,0.0027634132,0.003403232,0.0040057177
130,0.00082662376,0.0014670878,0.0019025235,0.0020582373,0.0032306704,0.0036786866
140,0.0023403023,0.0025715386,0.0039660093,0.0044667131,0.0053802513,0.0057640146
150,0.0022269261,0.0028304765,0.0032489221,0.0039234514,0.0048635229,0.0054650252
160,0.0019477538,0.0023927516,0.0032932881,0.0038722851,0.0047814511,0.0050335414
170,0.0024986166,0.0026750705,0.0037808831,0.0043207668,0.0047846378,0.0053531859
180,0.0019978434,0.0025447746,0.0027423605,0.0034350382,0.0041723762,0.005223481
190,0.00089837324,0.0020039278,0.0029620701,0.0034361932,0.0045616632,0.0054345693
200,0.0016235434,0.0025227946,0.0033848847,0.0043397456,0.004967692,0.0055742424
210,0.0025862287,0.0028916205,0.0037986252,0.0043011641,0.0050152477,0.0055111711
220,0.0028365064,0.0036449644,0.0045708537,0.0056028098,0.0061937077,0.0066555701
230,0.0032444141,0.0038831075,0.0044408893,0.0052849081,0.006184367,0.0065612818
240,0.0037710728,0.0045673627,0.0050315344,0.0057907396,0.0063804732,0.0067147179
250,0.0030978825,0.0035636772,0.0045596673,0.0051192302,0.0058174483,0.0064260597
260,0.0035999862,0.0040802617,0.0043821135,0.0052502012,0.0065760938,0.0066374806
270,0.0030814776,0.0037651235,0.0048538524,0.0054763449,0.0060783383,0.0062380992
280,0.0029620401,0.0033124316,0.0042319136,0.004459359,0.0056493499,0.0059308181
290,0.0031538047,0.003803837,0.0042872146,0.0049661041,0.0057186847,0.0059234226
300,0.0032573838,0.0039346055,0.004534791,0.0061180389,0.0066136138,0.0069124147
310,0.0027455878,0.0031124068,0.0042800921,0.0050788747,0.0061273501,0.0066596787
320,0.0029559756,0.0035924755,0.0046409954,0.0055530182,0.0065925168,0.00681428
330,0.0038572865,0.0047869519,0.0051617679,0.005532187,0.0063284958,0.0067351961
340,0.0032369024,0.0040589453,0.0047256414,0.0051224743,0.006130367,0.0064296372
350,0.0028641669,0.0038781377,0.0043935063,0.0047981166,0.0055872007,0.0063149948
360,0.0030385965,0.0035352775,0.003864133,0.0041771347,0.0051091813,0.0054222924
370,0.0030969721,0.0033672662,0.0041480093,0.0051181932,0.0062541892,0.0064684544
380,0.0026936935,0.0032412941,0.0040260674,0.0043666729,0.0050586426,0.0056338511
390,0.0024529231,0.0034314116,0.0045820453,0.0050495009,0.0057782094,0.0062191761
400,0.0023660236,0.0031413617,0.0043269603,0.0048631713,0.0053944433,0.0066972469
410,0.0021718293,0.0034737133,0.003989429,0.0050431095,0.0057842592,0.0062451316
420,0.0018267718,0.0025102363,0.0029997738,0.0033337799,0.0044790087,0.0058694334
430,0.0011345536,0.0022336817,0.0029047414,0.0040025601,0.0044954891,0.0056257084
440,0.0016614095,0.0018829127,0.0023467613,0.0030728838,0.0035779538,0.0043336286
450,0.0018706963,0.0021022772,0.0044285766,0.0046214403,0.0053374984,0.0057610237
460,9.5536922e-05,0.00080567106,0.0018247395,0.0031134924,0.0033479847,0.0039286955
470,0.0014491113,0.0021233779,0.0035460047,0.0037129269,0.0044944793,0.0048647941
480,0.0016848449,0.0020069781,0.0029830268,0.0031124758,0.0038867863,0.0042649536
490,0.00071680717,0.0010216113,0.0015418182,0.0020474082,0.0025525754,0.0036749084
500,0.00060132748,0.0014776919,0.0017613148,0.0022682624,0.0027862542,0.0029779664
510,0.0019139867,0.0024169784,0.0028499529,0.0040346482,0.0047520717,0.0054314674
520,0.00043487809,0.001210739,0.0015077419,0.002330125,0.0029498974,0.0031303772
530,0.0014450876,0.0016902227,0.0024580533,0.0034698554,0.0041730122,0.0045166225
540,0.0014683213,0.0020875,0.0026170691,0.0038172045,0.0041197933,0.0047912402
550,0.0014647451,0.0020090437,0.0022179489,0.0031995999,0.0043648093,0.0046758342
560,0.0007828035,0.0018061558,0.0020226176,0.0024933557,0.0031511256,0.0039836795
570,0.0016528423,0.0021107792,0.0023905246,0.0037297132,0.0048181036,0.005082365
580,0.0010479411,0.001545029,0.0026178215,0.0034511655,0.0041993703,0.0049504859
590,0.0011553486,0.0018453593,0.0025314515,0.0027915271,0.0036749979,0.0043022962
600,0.0021811783,0.0029245551,0.0035683761,0.0047419403,0.0051555617,0.0056972051
610,0.0021466141,0.0028796415,0.0035549088,0.0041167521,0.004555179,0.0057247943
620,0.0015460501,0.0024070269,0.0029683461,0.0033843006,0.0039926944,0.0043410313
630,0.0014403368,0.0025298159,0.002666195,0.0036461668,0.0042936063,0.0048770197
640,0.0019001416,0.002399338,0.0027373875,0.0032517127,0.0039669432,0.0049498394
650,0.0018562542,0.0020888824,0.0028477875,0.0034839806,0.0044979985,0.0051240465
660,0.0018300978,0.002173777,0.0026657992,0.0034813814,0.0048305678,0.0053635325
670,0.0010908971,0.0015249057,0.0019013532,0.0026940757,0.0041599705,0.005020194
680,0.00098850301,0.0018940405,0.0023676834,0.0027845873,0.0039605693,0.0046209099
690,0.0010077091,0.0012705794,0.0023675402,0.0031397115,0.0038649801,0.0039553956
700,0.0011628459,0.0018471876,0.0019262116,0.0025067852,0.002921727,0.0039916192
710,0.00014273185,0.00052876919,0.00078802715,0.00139589,0.0025176248,0.0027823301
720,0.0010993588,0.0020937297,0.0027677403,0.003557472,0.0045171251,0.0052829996
730,0.0020538864,0.002401467,0.0028044589,0.0043877512,0.0051031229,0.0054046309
740,0.0012577693,0.0018477322,0.0025653619,0.003264124,0.003972909,0.0047894228
750,0.0018050207,0.0029480968,0.0033313651,0.0037432901,0.0047319182,0.0051938107
760,0.0021360604,0.0029534967,0.0034244591,0.0043164085,0.0049136965,0.0057583153
770,0.00055655504,0.00069814775,0.0014982169,0.002424017,0.0027922645,0.003548205
780,0.0010475706,0.0013480038,0.0018335446,0.0020437026,0.0022618981,0.0025496482
790,0.0011919554,0.0013666861,0.0022506562,0.0025031134,0.0031841,0.0039919628
800,0.0012338596,0.0019650107,0.003043139,0.0033296295,0.0042005806,0.0047944499
810,0.00088439684,0.0022148143,0.0023459112,0.0032393523,0.0047236262,0.0052455768
820,0.0019470355,0.0023200498,0.0033470926,0.0037978254,0.0055153188,0.0058556391
830,0.0010087845,0.001176586,0.0020769539,0.0029269909,0.0035658219,0.0040612125
840,0.0002936735,0.00058028735,0.0013288642,0.0017441843,0.0032127373,0.0038244499
850,0.0011712489,0.0021255457,0.0023799297,0.0029584897,0.0032061116,0.0036027623
860,0.0018244932,0.0030435169,0.0032820468,0.0038953665,0.0043872995,0.0053905544
870,0.0012631199,0.0023256935,0.0031195668,0.0036376711,0.0042344658,0.0050561262
880,0.00077154808,0.0014287454,0.0024596567,0.0028678625,0.0040686559,0.005303064
890,0.001774171,0.0025926008,0.0031111362,0.0034653703,0.0041013497,0.0050017199
900,0.0021572902,0.0032381414,0.0041047713,0.0045658038,0.0055790898,0.006204001
910,0.0022922028,0.0035061734,0.0043111892,0.00485538,0.0057813054,0.0064987886
920,0.0016163377,0.0024201654,0.0030690869,0.0035293511,0.004257131,0.0050934993
930,0.0022051105,0.0029234623,0.0031778071,0.0042145102,0.0046923764,0.0060360332
940,0.0012719366,0.0021258429,0.0029621321,0.0031792417,0.0041054807,0.0044763818
950,0.001143212,0.0028402561,0.0030121688,0.0037556616,0.0052649767,0.0059038937
960,0.0020267994,0.0026001855,0.0036600004,0.0044082421,0.0052513697,0.005694023
970,0.001656199,0.0021582265,0.003697911,0.0039166369,0.0042910631,0.0051129652
980,0.0013054927,0.0021808371,0.0026750859,0.0029371654,0.0033870283,0.0044521232
990,0.0017702229,0.0023568075,0.002767899,0.0041533931,0.0045129768,0.005185714
1000,0.0021633469,0.0028378457,0.0039532563,0.0043459882,0.0046948427,0.0049694245
1010,0.0016562173,0.0017785184,0.0019285336,0.0026243691,0.0038869695,0.0044707042
1020,0.0014120389,0.0019894174,0.002441018,0.0036184983,0.0037966061,0.0045464607
1030,0.002055568,0.0030767027,0.0031485917,0.004234031,0.0052619535,0.0057980614
1040,0.0010238351,0.0018946366,0.0029458726,0.0036714222,0.0041449124,0.0054386025
1050,0.0022144269,0.0024369425,0.0031922478,0.0040486355,0.0054050254,0.0057019425
1060,0.0024966217,0.0028666432,0.0035651196,0.0044214132,0.0051501805,0.0057489321
1070,0.0027478827,0.0032417907,0.0044696981,0.0047266338,0.0057063389,0.006028862
1080,0.0029290539,0.0037050043,0.0039784191,0.0052398656,0.006354669,0.0064324279
1090,0.0019721063,0.0027930369,0.0036587476,0.0038499959,0.0049573853,0.0062022429
1100,0.0024598523,0.0031818696,0.003622277,0.004487796,0.0052569795,0.0059565864
1110,0.0028146536,0.0031823513,0.0047366585,0.0056984594,0.0063106781,0.0066094531
