MDTU,plaq,Re(det),Im(det),link
1,1.14128,0.666324,0.252353,0.189552
2,1.09457,0.621833,0.272395,0.219069
3,1.07879,0.603286,0.278348,0.232978
4,1.06686,0.600546,0.282384,0.241883
5,1.04878,0.585906,0.277051,0.254194
6,1.0356,0.570476,0.275944,0.255401
7,1.04715,0.573649,0.28476,0.25706
8,1.03355,0.561395,0.274239,0.254628
9,1.03355,0.561395,0.274239,0.254628
10,1.03035,0.565826,0.274701,0.253923
11,1.04378,0.569906,0.28297,0.256428
12,1.03352,0.552466,0.269746,0.251094
13,1.03637,0.565102,0.280316,0.258508
14,1.02915,0.553702,0.275201,0.258179
15,1.03484,0.568576,0.281481,0.257276
16,1.03593,0.565091,0.280313,0.256121
17,1.03271,0.559901,0.280539,0.260527
18,1.03271,0.559901,0.280539,0.260527
19,1.03475,0.56595,0.277821,0.261718
20,1.01615,0.543958,0.273172,0.258617
21,1.04084,0.564098,0.281423,0.254688
22,1.03524,0.563618,0.278577,0.255844
23,1.03529,0.560362,0.282528,0.258201
24,1.03512,0.568189,0.28435,0.26234
25,1.0333,0.559471,0.279422,0.256128
26,1.03679,0.566718,0.283636,0.256014
27,1.02163,0.558201,0.272884,0.258713
28,1.03993,0.581407,0.283849,0.262682
29,1.01565,0.551901,0.275512,0.26804
30,1.04463,0.583393,0.287176,0.271836
31,1.02617,0.571707,0.281822,0.276331
32,1.03102,0.568319,0.279671,0.273693
33,1.03102,0.568319,0.279671,0.273693
34,1.04107,0.58147,0.283173,0.270303
35,1.0309,0.570173,0.282729,0.269976
36,1.03851,0.573077,0.285666,0.261479
37,1.02651,0.561765,0.279518,0.261917
38,1.03452,0.570794,0.281577,0.257251
39,1.02314,0.559234,0.276659,0.259083
40,1.02803,0.56666,0.276661,0.264764
41,1.03194,0.558097,0.281646,0.259123
42,1.03076,0.555204,0.275005,0.255559
43,1.03277,0.558852,0.274192,0.258848
44,1.02678,0.554303,0.275719,0.260191
45,1.04189,0.563455,0.279557,0.255999
46,1.04093,0.565338,0.280944,0.257769
47,1.03556,0.561934,0.275857,0.258406
48,1.03625,0.566397,0.281597,0.260578
49,1.0377,0.557555,0.27449,0.263016
50,1.04271,0.566177,0.280271,0.264921
51,1.03989,0.569224,0.282534,0.260036
52,1.04454,0.574044,0.282553,0.259183
53,1.02203,0.550433,0.275463,0.259459
54,1.04701,0.571415,0.286805,0.257035
55,1.0272,0.558154,0.272217,0.257328
56,1.02225,0.555788,0.276926,0.262111
57,1.03038,0.563446,0.277351,0.261932
58,1.01753,0.546856,0.272372,0.258917
59,1.03774,0.564035,0.275278,0.259916
60,1.03676,0.564143,0.278778,0.257494
61,1.02465,0.556197,0.272233,0.256161
62,1.05094,0.572014,0.282835,0.255397
63,1.0269,0.546348,0.27074,0.256126
64,1.04314,0.575222,0.282115,0.263479
65,1.03396,0.553714,0.274099,0.25753
66,1.03148,0.560132,0.276838,0.258368
67,1.02667,0.560347,0.277643,0.262768
68,1.02646,0.56081,0.276947,0.265102
69,1.04563,0.578548,0.280419,0.265517
70,1.03323,0.571255,0.281063,0.266309
71,1.03185,0.57114,0.282059,0.266678
72,1.03929,0.577609,0.283633,0.269645
73,1.03929,0.577609,0.283633,0.269645
74,1.0192,0.548493,0.271554,0.265145
75,1.05114,0.581815,0.287939,0.263739
76,1.03594,0.567062,0.280861,0.265867
77,1.03992,0.578279,0.283302,0.270956
78,1.03821,0.576922,0.28108,0.268967
79,1.03251,0.560242,0.278413,0.268808
80,1.037,0.572347,0.282761,0.263754
81,1.037,0.572347,0.282761,0.263754
82,1.037,0.572347,0.282761,0.263754
83,1.02705,0.559056,0.275436,0.266549
84,1.0358,0.572355,0.277689,0.263157
85,1.02773,0.564173,0.273912,0.265168
86,1.03535,0.570819,0.279218,0.261125
87,1.01891,0.550011,0.272376,0.262899
88,1.03952,0.568397,0.279532,0.254594
89,1.02526,0.55634,0.276042,0.266504
90,1.02698,0.551129,0.275733,0.259744
91,1.03563,0.561619,0.278109,0.259329
92,1.0494,0.580467,0.287875,0.262102
93,1.02789,0.565955,0.277394,0.265446
94,1.04219,0.576451,0.279255,0.260071
95,1.03969,0.57582,0.281993,0.262241
96,1.03136,0.567189,0.277046,0.263123
97,1.04533,0.580452,0.281895,0.263846
98,1.02837,0.560008,0.277032,0.261833
99,1.04066,0.571232,0.280466,0.268842
100,1.03056,0.555466,0.274401,0.263628
101,1.03056,0.555466,0.274401,0.263628
102,1.02351,0.557568,0.269523,0.258767
103,1.03973,0.576045,0.282428,0.263604
104,1.0267,0.557233,0.276994,0.25899
105,1.02474,0.559764,0.27366,0.261463
106,1.03331,0.567106,0.283663,0.26445
107,1.02821,0.563916,0.277585,0.25857
108,1.02024,0.558891,0.269876,0.258814
109,1.03385,0.56121,0.274964,0.254363
110,1.0402,0.560527,0.279162,0.254588
111,1.03641,0.565303,0.276749,0.259292
112,1.0414,0.569336,0.282259,0.256378
113,1.04162,0.570477,0.277037,0.256894
114,1.03062,0.560988,0.277869,0.262139
115,1.03464,0.567064,0.284266,0.26047
116,1.03163,0.557124,0.277685,0.258216
117,1.01856,0.556983,0.273174,0.265373
118,1.03975,0.570983,0.285581,0.260114
119,1.03975,0.570983,0.285581,0.260114
120,1.02443,0.551409,0.273234,0.252112
121,1.05518,0.585679,0.286858,0.254537
122,1.02103,0.547355,0.265759,0.256492
123,1.04297,0.573693,0.275387,0.259774
124,1.02626,0.563609,0.277903,0.263201
125,1.02699,0.559258,0.274933,0.254652
126,1.03,0.558084,0.276777,0.253621
127,1.03412,0.56823,0.27822,0.260239
128,1.02625,0.55874,0.274032,0.258664
129,1.03864,0.567015,0.281724,0.257172
130,1.02837,0.556142,0.275329,0.260198
131,1.04146,0.564263,0.278728,0.257598
132,1.0193,0.55684,0.27114,0.264855
133,1.03582,0.568007,0.283985,0.264491
134,1.01915,0.559586,0.275791,0.27251
135,1.04033,0.574869,0.285163,0.262936
136,1.04567,0.572888,0.282212,0.256926
137,1.03463,0.566251,0.277231,0.259033
138,1.03103,0.565265,0.28052,0.265798
139,1.0325,0.567381,0.27533,0.263464
140,1.03356,0.565062,0.282559,0.259733
141,1.0265,0.55331,0.271766,0.256208
142,1.03669,0.563121,0.276062,0.257258
143,1.03794,0.571823,0.280675,0.262916
144,1.03459,0.559258,0.276145,0.256359
145,1.04429,0.574556,0.28749,0.263483
146,1.03104,0.555302,0.27601,0.264008
147,1.04992,0.577388,0.285761,0.264262
148,1.03911,0.56568,0.28322,0.25922
149,1.0377,0.564239,0.276556,0.257474
150,1.0377,0.564239,0.276556,0.257474
151,1.0377,0.564239,0.276556,0.257474
152,1.03827,0.568706,0.282977,0.259277
153,1.03557,0.56984,0.279664,0.263097
154,1.04211,0.57068,0.283966,0.262725
155,1.04211,0.57068,0.283966,0.262725
156,1.03334,0.567579,0.27882,0.267874
157,1.03334,0.567579,0.27882,0.267874
