MDTU,S_F
1,0.953215
2,1.00298
3,0.996029
4,1.00215
5,1.00422
6,0.999144
7,0.996999
8,1.00286
9,0.999436
10,0.999634
11,1.00141
12,1.00177
13,0.996942
14,0.998728
15,0.9995
16,0.998234
17,0.995579
18,1.00152
19,0.998013
20,0.993426
21,0.997856
22,0.999774
23,0.996502
24,1.00536
25,0.998545
26,1.00048
27,0.994722
28,0.994739
29,0.994236
30,1.00381
31,0.99848
32,1.00299
33,0.998722
34,1.00163
35,1.00047
36,1.00113
37,0.998806
38,1.00084
39,0.99675
40,0.997097
41,1.00049
42,1.00129
43,0.996106
44,0.998762
45,1.00465
46,0.998674
47,0.999834
48,0.994865
49,1.00129
50,0.998302
51,1.00267
52,0.998825
53,1.00046
54,0.997964
55,0.996491
56,0.999792
57,0.996192
58,0.998379
59,0.993133
60,1.00269
61,0.998506
62,1.00396
63,1.00161
64,0.996399
65,0.998755
66,0.998018
67,0.998266
68,1.0016
69,0.997866
70,0.997451
71,1.00021
72,1.00423
73,1.00388
74,0.997678
75,1.00034
76,1.00637
77,1.00192
78,0.999301
79,0.997194
80,1.00295
81,1.00139
82,1.00039
83,0.994728
84,1.00277
85,1.00061
86,1.00012
87,0.993683
88,1.00065
89,0.996665
90,1.00053
91,1.00016
92,0.99949
93,0.999493
94,1.00171
95,1.001
96,0.999723
97,1.00506
98,0.998339
99,1.00038
100,1.00194
101,1.00062
102,1.00143
103,1.00349
104,0.997716
105,0.996624
106,0.999978
107,1.00251
108,1.00137
109,0.996397
110,0.996439
111,1.00088
112,0.99368
113,1.00051
114,0.995165
115,1.00105
116,1.0016
117,0.997444
118,1.00329
119,1.00088
120,0.999056
121,1.00366
122,0.996828
123,1.00048
124,1.00196
125,0.994503
126,1.00142
127,0.998435
128,0.999665
129,0.997799
130,1.00042
131,1.00286
132,1.00029
133,1.00227
134,0.99867
135,1.00007
136,1.00482
137,1.00151
138,0.995488
139,1.00411
140,0.999578
141,0.998318
142,1.00011
143,0.998506
144,1.00088
145,0.998407
146,0.999859
147,1.00424
148,1.00361
149,1.00174
150,0.998614
151,0.998528
152,1.00048
153,1.00562
154,1.00147
155,1.00271
156,1.00174
157,0.996733
158,0.997434
159,0.998416
160,1.00318
161,1.00043
162,0.998424
163,0.995216
164,0.998093
165,0.999298
166,1.00195
167,1.00159
168,1.0026
169,0.99761
170,0.999311
171,1.00063
172,1.001
173,1.00025
174,0.999986
175,0.998867
176,0.997842
177,0.998663
178,0.995828
179,0.999305
180,0.996805
181,0.998855
182,0.999154
183,0.996313
184,0.997325
185,0.998405
186,1.00376
187,1.00466
188,0.998195
189,0.994808
190,1.00094
191,0.99485
192,1.00216
193,0.995299
194,0.998323
195,1.00066
196,1.00285
197,0.99499
198,0.996703
199,0.999099
200,0.995765
201,0.999123
202,0.995365
203,0.99721
204,1.00122
205,1.0006
206,0.99826
207,1.00012
208,0.998817
209,0.998906
210,0.995763
211,1.00243
212,1.00182
213,1.00217
214,1.00102
215,1.00346
216,1.0023
217,0.997826
218,0.998133
219,1.00154
220,1.00084
221,0.997715
222,1.00378
223,0.997741
224,1.00463
225,1.00472
226,1.00237
227,0.993329
228,0.999988
229,1.00039
230,0.999849
231,0.999999
232,0.997881
233,0.999687
234,0.998726
235,1.00068
236,0.999534
237,0.994461
238,1.00196
239,1.0024
240,0.999242
