t,e^(-dS)
1,1352.89
2,3.10496
3,3.30686
4,1.91918
5,1.64691
6,1.54558
7,1.01629
8,1.06011
9,0.928449
10,1.35202
11,0.710561
12,0.972544
13,1.27011
14,0.821519
15,1.16556
16,0.968264
17,1.01661
18,1.09723
19,0.943178
20,1.04407
21,1.6603
22,0.79509
23,1.08565
24,0.653182
25,1.23183
26,1.11127
27,0.883292
28,0.773368
29,1.19244
30,1.08668
31,0.844593
32,0.781766
33,0.914507
34,1.01423
35,1.02825
36,0.835103
37,0.988022
38,0.998707
39,0.97871
40,1.62239
41,0.887985
42,1.15373
43,0.832019
44,0.968235
45,1.27138
46,1.08033
47,0.838618
48,0.803322
49,0.781688
50,0.924049
51,1.07458
52,1.14305
53,0.787966
54,0.91195
55,0.962569
56,0.996942
57,1.01187
58,1.21252
59,0.954145
60,0.856244
61,1.09684
62,1.302
63,0.869619
64,0.967984
65,1.23615
66,0.973848
67,1.1953
68,0.853423
69,0.709496
70,1.12378
71,1.01696
72,0.881527
73,1.27711
74,0.810665
75,1.15685
76,1.24359
77,0.884441
78,1.03903
79,0.813589
80,1.05738
81,1.014
82,0.822423
83,0.937592
84,1.00036
85,1.12829
86,1.47802
87,0.94282
88,1.34259
89,0.8462
90,0.850781
91,1.06559
92,0.802358
93,1.15154
94,1.02138
95,0.879589
96,1.1193
97,1.30278
98,0.814566
99,1.17433
100,1.02704
101,0.834268
102,1.06547
103,0.96547
104,1.16172
105,0.846115
106,0.940946
107,1.02918
108,0.926214
109,1.06212
110,1.24073
111,0.827373
112,1.1116
113,1.20816
114,0.80493
115,0.882497
116,0.943207
117,1.07293
118,0.973926
119,0.805252
120,1.15847
121,0.831354
122,0.870837
123,1.11561
124,1.0865
125,0.973167
126,0.995133
127,1.07309
128,0.912863
129,1.29124
130,1.02403
131,0.845861
132,1.04516
133,1.01833
134,0.804206
135,1.23109
136,0.919578
137,1.23306
138,1.21628
139,0.965644
140,1.04514
141,0.953706
142,1.06866
143,1.03594
144,0.892258
145,0.97342
146,0.982397
