ReTr(L),ImTr(L)
0.54476,0.00448359
0.330682,-0.0348675
0.25218,0.0112565
0.210843,-0.0018992
0.181218,-0.00735065
0.164792,0.0457041
0.219091,0.0790585
0.159435,0.0731765
0.116961,0.0756785
0.119974,0.0468498
0.175814,0.082192
0.059249,0.0190677
0.072567,0.0862415
0.0861145,0.0373781
0.143223,0.084249
0.0899025,0.032365
0.14101,0.088324
0.173288,0.175781
0.189704,0.079662
0.209796,0.050002
0.178518,0.0904815
0.144638,0.0460809
0.219558,0.0200074
0.189273,0.00163735
0.171087,0.00233341
0.15599,0.000227802
0.15599,0.000227802
0.0970475,-0.0196203
0.192655,0.053114
0.238326,-0.0160535
0.238326,-0.0160535
0.238326,-0.0160535
0.221555,-0.0316359
0.237802,0.0121698
0.227882,0.055638
0.15811,0.0637035
0.165205,0.000477021
0.12972,0.0244646
0.121072,0.00308856
0.122731,0.0289926
0.133428,0.0200942
0.157845,-0.0309098
0.115301,-0.0103979
0.118699,0.0261638
0.087507,0.01029
0.0179836,0.0245669
0.097982,0.0658175
0.0868355,0.0701265
0.057719,0.0833125
0.057986,0.098314
0.0265993,0.0430951
0.038072,0.00244707
0.06592,0.0647905
0.136272,0.125586
0.133738,0.122871
0.064475,0.0273157
0.132389,0.0185093
0.102087,0.0216501
0.169238,0.0061878
0.097752,-0.033517
0.134537,-0.0395602
0.0856975,-0.0140609
0.143989,0.0486021
0.133248,0.018225
0.132028,0.0108401
0.131184,0.0456621
0.132708,-0.00133426
0.197451,-0.0576325
0.189855,0.0145983
0.177161,0.00848185
0.234226,0.00323291
0.234819,-0.0425146
0.159173,-0.0520245
0.194484,-0.05154
0.172555,-0.0614065
0.197161,-0.0249105
0.237827,-0.029633
0.14296,0.0166336
0.176948,-0.0657805
0.0722615,-0.0528255
0.160079,-0.062769
0.149379,-0.0130115
0.1658,-0.113366
0.210424,-0.0269389
0.175715,-0.084683
0.148438,-0.0473834
0.156347,-0.0104811
0.140447,0.0454625
0.139567,-0.0202703
0.109846,-0.0483908
0.173611,-0.074976
0.224186,-0.0944545
0.176145,-0.069042
